City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
bud,US,39.45,-86.18,62.01,41,1,8.05
bentiu,SS,9.23,29.83,91.63,26,68,4.29
sibolga,ID,1.74,98.78,77.52,78,16,3.91
hami,CN,42.8,93.45,58.86,20,51,4.12
auki,SB,-8.77,160.7,81.07,77,77,5.79
uvira,CD,-3.41,29.15,74.26,50,89,0.96
vostok,RU,46.49,135.88,29.52,79,100,6.11
kyzyl-mazhalyk,RU,51.13,90.6,47.91,34,42,1.61
mayma,RU,52.02,85.91,49.06,49,0,2.46
leh,IN,34.17,77.58,34.7,18,100,0.76
mon,IN,26.75,95.1,65.1,69,95,1.77
svetlogorsk,BY,52.63,29.73,39.6,68,57,8.03
port huron,US,42.97,-82.42,48.2,36,1,14.99
honningsvag,NO,70.98,25.97,39.2,64,40,29.97
itoman,JP,26.12,127.67,68,82,20,4.7
deep river,CA,46.1,-77.5,39,40,1,8.05
georgiyevskoye,RU,58.73,45.02,38.1,76,84,3.42
shakiso,ET,5.75,38.92,61.66,60,97,2.26
san andres,CO,12.58,-81.7,86,66,20,8.05
port jervis,US,41.38,-74.69,52,53,1,11.41
hay river,CA,60.82,-115.8,28.4,74,90,9.17
ouricuri,BR,-7.88,-40.08,80.56,68,88,6.44
ust-ilimsk,RU,58,102.66,23.67,92,0,2.68
edgewater,US,28.99,-80.9,84.99,74,40,19.46
taunton,GB,51.02,-3.1,62.01,36,2,7
salalah,OM,17.02,54.09,84.2,70,20,5.82
suez,EG,29.97,32.53,71.55,45,0,13.09
bowen,AU,-20.02,148.23,73.99,100,40,4.7
rawson,AR,-43.3,-65.1,60.46,33,4,13.65
macenta,GN,8.54,-9.47,78.28,72,100,1.34
cairo,EG,30.06,31.25,73.4,35,7,17.22
samarai,PG,-10.62,150.67,80.06,81,72,7.99
kodinsk,RU,58.69,99.18,25.63,90,0,4.09
harper,LR,4.38,-7.72,83.17,74,89,6.46
lamu,KE,-2.27,40.9,81.54,80,100,14.63
derzhavinsk,KZ,51.1,66.32,62.69,40,100,6.71
terpinnya,UA,46.97,35.42,45.3,57,29,7.92
maniitsoq,GL,65.42,-52.9,31.42,85,72,11.86
bodmin,GB,50.47,-4.72,62.6,45,64,14.99
sao felix do xingu,BR,-6.64,-51.99,82.06,83,98,1.25
druzhba,UA,52.04,33.95,39.78,67,42,8.48
medvezhyegorsk,RU,62.92,34.47,36.14,94,98,3.31
mataram,ID,-8.58,116.12,75.2,100,40,3.22
vao,NC,-22.67,167.48,75.7,81,91,9.73
skibbereen,IE,51.55,-9.27,53.6,62,75,11.41
saldanha,ZA,-33.01,17.94,62.6,82,100,3.36
tamandare,BR,-8.76,-35.1,82.74,76,20,11.03
sawtell,AU,-30.38,153.1,57.2,93,52,1.12
celestun,MX,20.87,-90.4,87.76,57,33,8.52
calvia,ES,39.57,2.51,62.6,93,100,5.82
kamenka,RU,51.32,42.77,41,94,100,1.99
pergine valsugana,IT,46.06,11.24,50,93,90,11.41
gazanjyk,TM,39.24,55.52,76.93,28,2,3.91
leshukonskoye,RU,64.9,45.76,30.07,97,89,4.23
